VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1DP6D,King,Kirkland,WA,98034.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,1.0,212680240,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
WA12AAGE4M,King,Seattle,WA,98109.0,2021,AUDI,E-TRON SPORTBACK,BEV,Clean Alternative Fuel Vehicle Eligible,218.0,175363,43.0,172595167,POINT (-122.3441532 47.6305366),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007301.0
1G1FZ6S0XL,King,Seattle,WA,98102.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,134989,43.0,104548300,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500.0
1G1FX6S00H,King,Seattle,WA,98146.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,152054,34.0,214701812,POINT (-122.3551826 47.5000521),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000.0
5YJ3E1EB9J,King,Seattle,WA,98103.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,137579,46.0,241603568,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800.0
5YJ3E1EBXJ,King,Bellevue,WA,98007.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,99227,41.0,474596251,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604.0
5YJXCBE24H,Thurston,Olympia,WA,98501.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,137170,22.0,4402429,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010802.0
5YJ3E1EA7J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,177790,48.0,297189952,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032313.0
5YJ3E1EA7L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,179801,48.0,2212934,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806.0
1G1FX6S01H,King,Seattle,WA,98112.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,88122,43.0,206388619,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
5YJYGDEE0L,Clark,Vancouver,WA,98662.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,46811,17.0,112508035,POINT (-122.579351 45.671668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040709.0
5YJSA1E46G,King,Kirkland,WA,98033.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,82820,45.0,105418449,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401.0
5YJ3E1EB4K,King,Kenmore,WA,98028.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,66946,46.0,224321730,POINT (-122.2478069 47.75817),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102.0
5YJ3E1EA4J,King,Bellevue,WA,98005.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,73076,48.0,201950850,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022805.0
5YJ3E1EB0J,Clark,Brush Prairie,WA,98606.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,32496,18.0,247827968,POINT (-122.4767202 45.7381698),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040603.0
5YJ3E1EA6L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,132248,41.0,3304318,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023901.0
WA1LAAGE3K,King,Bellevue,WA,98005.0,2019,AUDI,E-TRON,BEV,Clean Alternative Fuel Vehicle Eligible,204.0,148759,48.0,255143423,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601.0
5YJ3E1EB0J,Clark,Vancouver,WA,98686.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,41717,17.0,347377740,POINT (-122.626623 45.711724),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040409.0
5YJYGDEE4L,Clark,Camas,WA,98607.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,124049,18.0,225900783,POINT (-122.4220033 45.6092439),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040605.0
5YJSA1E24H,Clark,Vancouver,WA,98682.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,103420,17.0,348754255,POINT (-122.5286031 45.6686601),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040713.0
5YJ3E1EB7L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,39774,41.0,195254762,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002.0
5YJ3E1EA5L,Thurston,Olympia,WA,98512.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,157672,35.0,124645867,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730.0
1G1FW6S04L,Kitsap,Bainbridge Island,WA,98110.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,174599,23.0,262794647,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090800.0
5YJ3E1EB3J,King,Seattle,WA,98122.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,80855,37.0,475863300,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008600.0
5YJXCAE2XL,King,Redmond,WA,98052.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,293.0,97135,48.0,2223427,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325.0
5YJ3E1EB7J,King,Seattle,WA,98112.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,156260,43.0,475394125,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200.0
5YJ3E1EAXJ,King,Bellevue,WA,98008.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,137702,48.0,350241818,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100.0
5YJ3E1EC7L,King,Seattle,WA,98122.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,308.0,89324,37.0,252257666,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008600.0
5YJSA1E24L,King,Seattle,WA,98112.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,124802,43.0,109301972,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
5YJSA1E22L,King,Bellevue,WA,98006.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,38216,41.0,114961388,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904.0
5YJSA1E22H,King,Kirkland,WA,98034.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,110347,1.0,350436572,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300.0
5YJ3E1EA5K,King,Seattle,WA,98125.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,130166,46.0,306540083,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000201.0
5YJSA1S24F,King,Bellevue,WA,98005.0,2015,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,111851,48.0,103254049,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701.0
5YJ3E1EA6J,Island,Coupeville,WA,98239.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,160002,10.0,223792649,POINT (-122.6591616 48.1982108),PUGET SOUND ENERGY INC,53029971100.0
5YJ3E1EB3L,King,Seattle,WA,98112.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,160116,43.0,103427803,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
5YJSA1E26G,King,Newcastle,WA,98056.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,74724,41.0,183345998,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
5YJSA1CN1D,King,Kent,WA,98042.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,47.0,181971996,POINT (-122.1145138 47.3581107),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708.0
5YJYGDEE1L,Snohomish,Snohomish,WA,98296.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,32459,44.0,112938717,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052008.0
5YJ3E1EB7J,King,Sammamish,WA,98075.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,83265,41.0,465051597,POINT (-122.0181135 47.5880568),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224.0
5YJ3E1EB6J,King,Seattle,WA,98125.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,148905,46.0,475581704,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100.0
5YJ3E1EC1L,Kitsap,Bainbridge Island,WA,98110.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,308.0,128087,23.0,195702293,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700.0
5YJ3E1EB5K,King,Bellevue,WA,98008.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,74877,48.0,114521081,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403.0
1G1FW6S00H,King,Shoreline,WA,98133.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,99018,32.0,258972514,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900.0
5YJ3E1EB6K,King,Seattle,WA,98133.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,148367,46.0,194289231,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000300.0
5YJYGDEE8L,Clark,Vancouver,WA,98683.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,74143,17.0,124479232,POINT (-122.515805 45.604689),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041309.0
5YJXCAE28L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,293.0,145348,48.0,127141619,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805.0
WA1AAAGE8M,Kitsap,Bainbridge Island,WA,98110.0,2021,AUDI,E-TRON,BEV,Clean Alternative Fuel Vehicle Eligible,222.0,159076,23.0,260293176,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002.0
5YJXCAE24L,King,Issaquah,WA,98029.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,293.0,172265,5.0,107741721,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220.0
5YJSA1E21F,King,Renton,WA,98056.0,2015,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,108137,37.0,304592200,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025302.0
5YJSA1DP4D,King,Kirkland,WA,98033.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,45.0,216677254,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0
